method,method_label,method_kind,regime,budget_fraction,budget_bytes,used_protection_bytes,budget_utilization,protected_expert_count,total_projected_expert_bytes,effective_bits_per_weight,coverage_general,coverage_math,coverage_coding,coverage_reasoning,coverage_min,coverage_mean,routing_coverage_min
general_only,General-Only,deterministic_milp,3to8,0.1,402653184,401080320,0.99609375,102,2917662720,3.623046875,0.4747791671633564,0.0910684813607628,0.05425159721886699,0.06973869367045164,0.05425159721886699,0.17245948485335943,0.03474341192787796
math_only,Math-Only,deterministic_milp,3to8,0.1,402653184,401080320,0.99609375,102,2917662720,3.623046875,0.0015269455358011541,0.5900064630541889,0.1359758060841597,0.07718695909989037,0.0015269455358011541,0.20117404344351003,0.002446288023824718
coding_only,Coding-Only,deterministic_milp,3to8,0.1,402653184,401080320,0.99609375,102,2917662720,3.623046875,0.0004435853860928761,0.068332145121167,0.8785800265387698,0.027735323914992175,0.0004435853860928761,0.24377277024025545,0.0
reasoning_only,Reasoning-Only,deterministic_milp,3to8,0.1,402653184,401080320,0.99609375,102,2917662720,3.623046875,0.0015269455358011541,0.044188525077634745,0.10293794042078974,0.635181046103859,0.0015269455358011541,0.19595861428452116,0.001701765581791109
random_seed1001,Random (seed 1001),random,3to8,0.1,402653184,401080320,0.99609375,102,2917662720,3.623046875,0.09066929572864754,0.06586383412679671,0.08821370829242932,0.1008993150069237,0.06586383412679671,0.08641153828869932,0.0801036997978733
random_seed1002,Random (seed 1002),random,3to8,0.1,402653184,401080320,0.99609375,102,2917662720,3.623046875,0.0994448320720592,0.1389353099031428,0.11957700286027949,0.05836236636924215,0.05836236636924215,0.1040798778011809,0.052843273231622745
random_seed1003,Random (seed 1003),random,3to8,0.1,402653184,401080320,0.99609375,102,2917662720,3.623046875,0.0957656616379711,0.0829034095960595,0.11188010722588342,0.09026918701048761,0.0829034095960595,0.0952045913676004,0.07970823446700064
random_seed1004,Random (seed 1004),random,3to8,0.1,402653184,401080320,0.99609375,102,2917662720,3.623046875,0.08747726210365858,0.07137422231729557,0.1081903424503106,0.0516853317281744,0.0516853317281744,0.0796817896498598,0.06674757281553398
random_seed1005,Random (seed 1005),random,3to8,0.1,402653184,401080320,0.99609375,102,2917662720,3.623046875,0.06201626097107869,0.08340535741376266,0.060443895105193775,0.15434386195759373,0.060443895105193775,0.09005234386190722,0.06686261917699944
robust_functional,Robust-Functional,deterministic_milp,3to8,0.2,805306368,802160640,0.99609375,204,3318743040,4.12109375,0.5825781651679067,0.5872040306633434,0.5858990281811531,0.5862638748740006,0.5825781651679067,0.585486274721601,0.4687916810749395
robust_routing,Robust-Routing,deterministic_milp,3to8,0.2,805306368,802160640,0.99609375,204,3318743040,4.12109375,0.5115506724456187,0.5460106902322726,0.5874687668249429,0.5560412028615942,0.5115506724456187,0.550267833091107,0.5606796116504855
average_specialization,Average-Specialization,deterministic_milp,3to8,0.2,805306368,802160640,0.99609375,204,3318743040,4.12109375,0.4316455309381456,0.6171209063717683,0.7516117904820294,0.6049922837140616,0.4316455309381456,0.6013426278765013,0.42201127419697915
global_importance,Global-Importance,deterministic_milp,3to8,0.2,805306368,802160640,0.99609375,204,3318743040,4.12109375,0.09572000152871439,0.35558235277764993,0.8083845276118692,0.4705457421480606,0.09572000152871439,0.4325581560165735,0.08234950010636032
general_only,General-Only,deterministic_milp,3to8,0.2,805306368,802160640,0.99609375,204,3318743040,4.12109375,0.638584537835638,0.17055977646612286,0.08364851057342108,0.10668577774937582,0.08364851057342108,0.24986965065613942,0.07066574202496533
math_only,Math-Only,deterministic_milp,3to8,0.2,805306368,802160640,0.99609375,204,3318743040,4.12109375,0.02830173848990511,0.7615981973538104,0.18631175790896626,0.1791907008703403,0.02830173848990511,0.2888505986557555,0.022282493086577315
coding_only,Coding-Only,deterministic_milp,3to8,0.2,805306368,802160640,0.99609375,204,3318743040,4.12109375,0.014328007051402362,0.24068520624024536,0.9885541719914118,0.1637520866860201,0.014328007051402362,0.3518298679922699,0.003084450116996384
reasoning_only,Reasoning-Only,deterministic_milp,3to8,0.2,805306368,802160640,0.99609375,204,3318743040,4.12109375,0.014200597784072004,0.2020950430422889,0.1669570604238735,0.747976678500593,0.014200597784072004,0.2828073449377069,0.012603701340140393
