workload,regime,capacity,best_simple_policy,best_simple_cost,oracle_cost,absolute_gap,headroom,headroom_ci_low,headroom_ci_high,absolute_gap_ci_low,absolute_gap_ci_high,mean_sequence_absolute_gap,median_sequence_absolute_gap,paired_standardized_effect,sequences,normalized_frequency_entropy_mean,top_10_traffic_share_mean,gini_mean,consecutive_jaccard_mean,reuse_within_10_events,activity_lag1_autocorrelation_mean,adjacent_segment_js_mean,pairwise_domain_js_mean
stationary_general,stationary,16,lfu_decay(alpha=0.90),14146.0,9842.0,4304.0,0.30425561996324046,0.2773974276282235,0.328656558799125,3956.875,4603.025,538.0,535.5,7.6998699159566755,8,0.9551481663951406,0.321685791015625,0.3240242004394531,0.2796718477600831,0.8198998393650194,0.31235994397759104,,
stationary_general,stationary,24,lfu_decay(alpha=0.90),10481.0,6121.0,4360.0,0.41599084056864805,0.36676859905989667,0.4513751650044158,3851.875,4874.05,545.0,552.5,5.501403196515386,8,0.9551481663951406,0.321685791015625,0.3240242004394531,0.2796718477600831,0.8198998393650194,0.31235994397759104,,
stationary_general,stationary,32,lfu_decay(alpha=0.90),7467.0,3922.0,3545.0,0.47475559126824696,0.39713284466677456,0.5252363376900384,2973.9,4067.1749999999997,443.125,462.0,4.1123155374805505,8,0.9551481663951406,0.321685791015625,0.3240242004394531,0.2796718477600831,0.8198998393650194,0.31235994397759104,,
stationary_math,stationary,8,lru,19156.0,19156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.8947480980019384,0.446563720703125,0.4892091751098633,0.2917789835436894,0.8474320241691843,0.33375350140056015,,
stationary_math,stationary,12,lfu_decay(alpha=0.90),15413.0,12515.0,2898.0,0.18802309738532408,0.16618916700877134,0.20479337485007776,2544.925,3141.025,362.25,356.5,6.976766745637605,8,0.8947480980019384,0.446563720703125,0.4892091751098633,0.2917789835436894,0.8474320241691843,0.33375350140056015,,
stationary_math,stationary,16,lfu,12923.0,9298.0,3625.0,0.280507622069179,0.24002841624342808,0.3114098616227738,3064.925,3977.05,453.125,476.0,4.262186816867601,8,0.8947480980019384,0.446563720703125,0.4892091751098633,0.2917789835436894,0.8474320241691843,0.33375350140056015,,
stationary_math,stationary,24,lfu,8788.0,5490.0,3298.0,0.37528447883477467,0.3200118337928961,0.423484852447184,2706.0,3792.0,412.25,460.0,3.9344452845284312,8,0.8947480980019384,0.446563720703125,0.4892091751098633,0.2917789835436894,0.8474320241691843,0.33375350140056015,,
stationary_math,stationary,32,lfu,5754.0,3293.0,2461.0,0.4277024678484532,0.3336184355349509,0.49991376068522514,2015.975,2825.125,307.625,325.5,3.5059114385125625,8,0.8947480980019384,0.446563720703125,0.4892091751098633,0.2917789835436894,0.8474320241691843,0.33375350140056015,,
stationary_reasoning,stationary,8,lru,20029.0,20029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.9207197662316051,0.40283203125,0.4367399215698242,0.273502390855332,0.8005917718530643,0.30318627450980384,,
stationary_reasoning,stationary,12,lfu,16787.0,13585.0,3202.0,0.1907428367188896,0.17156092762702746,0.20249293572746935,2840.725,3410.05,400.25,395.5,5.323131015332552,8,0.9207197662316051,0.40283203125,0.4367399215698242,0.273502390855332,0.8005917718530643,0.30318627450980384,,
stationary_reasoning,stationary,16,lfu,14186.0,10383.0,3803.0,0.2680812068236289,0.23494239463322153,0.29459710268707706,3272.975,4264.075,475.375,469.0,4.515260719339358,8,0.9207197662316051,0.40283203125,0.4367399215698242,0.273502390855332,0.8005917718530643,0.30318627450980384,,
stationary_reasoning,stationary,24,lfu,10222.0,6617.0,3605.0,0.35267071023283114,0.3040770896055297,0.4001629633314293,3013.95,4149.05,450.625,444.5,3.8464237524331057,8,0.9207197662316051,0.40283203125,0.4367399215698242,0.273502390855332,0.8005917718530643,0.30318627450980384,,
stationary_reasoning,stationary,32,lfu,6856.0,4259.0,2597.0,0.37879229871645276,0.3094621651348782,0.44621024749587274,2175.675,3012.05,324.625,326.0,3.8771683285914764,8,0.9207197662316051,0.40283203125,0.4367399215698242,0.273502390855332,0.8005917718530643,0.30318627450980384,,
