bit_width,intervention_id,pair_id,role,target_domain,layer,expert_id,domain,is_target_domain,examples,evaluated_tokens,baseline_nll,quantized_nll,delta_nll,delta_nll_ci_low,delta_nll_ci_high,normalized_relative_delta_nll,relative_delta_percent,positive_delta_example_fraction,routing_coverage,routing_frequency,functional_importance,functional_rank,quantization_distortion,risk_functional,risk_routing,effective_bits_per_weight,projected_bytes,compression_ratio_vs_bf16,bootstrap_replicates
4,control_coding_L11_E27_L11_E7,coding_L11_E27,control,coding,11,7,math,False,100,6400,2.2662287080287933,2.265638818740845,-0.0005898892879486084,-0.0011703496277332306,-5.1533848047256506e-05,-0.0002602955676356712,-0.026029556763567118,0.4,0.15140625,0.01892578125,0.012362979147940918,30.0,0.014164655693410709,0.0001751173429753992,0.0002680771751350581,4.125,3244032,3.878787878787879,1000
4,control_coding_L11_E27_L11_E7,coding_L11_E27,control,coding,11,7,coding,True,100,6400,1.7902204298973083,1.7909021520614623,0.0006817221641540527,-9.432238340377807e-05,0.0014907067120075224,0.00038080347691773244,0.03808034769177324,0.53,0.5721875,0.0715234375,0.05855890422483795,4.0,0.014164655693410709,0.0008294667161282432,0.0010131048661966798,4.125,3244032,3.878787878787879,1000
4,control_coding_L11_E27_L11_E7,coding_L11_E27,control,coding,11,7,reasoning,False,100,6400,1.9561886489391327,1.9562981712818146,0.00010952234268188477,-0.0002646923363208771,0.0004892633259296417,5.598761793310691e-05,0.005598761793310691,0.49,0.2325,0.0290625,0.0214041221336875,21.0,0.014164655693410709,0.0003031820204433948,0.00041166030608974876,4.125,3244032,3.878787878787879,1000
4,specialist_reasoning_L13_E20,reasoning_L13_E20,specialist,reasoning,13,20,general,False,100,6400,2.991833852529526,2.99201589345932,0.00018204092979431152,-0.00017075759172439575,0.000554242730140686,6.084593555902182e-05,0.006084593555902182,0.32,0.103125,0.012890625,0.01362208628229936,33.0,0.013924948419781898,0.00018968684885083714,0.000179501288223751,4.125,3244032,3.878787878787879,1000
4,specialist_reasoning_L13_E20,reasoning_L13_E20,specialist,reasoning,13,20,math,False,100,6400,2.2662287080287933,2.266024127006531,-0.00020458102226257325,-0.0005065482556819915,5.438342690467833e-05,-9.027377578343429e-05,-0.009027377578343428,0.42,0.158125,0.019765625,0.01044196167300729,30.0,0.013924948419781898,0.000145403777697966,0.00027523530860975155,4.125,3244032,3.878787878787879,1000
4,specialist_reasoning_L13_E20,reasoning_L13_E20,specialist,reasoning,13,20,coding,False,100,6400,1.7902204298973083,1.7903300821781158,0.00010965228080749512,-0.00036944094300270084,0.0005868508517742155,6.12507147032084e-05,0.00612507147032084,0.46,0.12796875,0.01599609375,0.00905799733353255,18.0,0.013924948419781898,0.00012613214565596273,0.00022274478038674557,4.125,3244032,3.878787878787879,1000
4,specialist_reasoning_L13_E20,reasoning_L13_E20,specialist,reasoning,13,20,reasoning,True,100,6400,1.9561886489391327,1.956628795862198,0.0004401469230651855,-0.0002748043835163116,0.0012090425193309782,0.00022500228866161916,0.022500228866161917,0.54,0.72546875,0.09068359375,0.11086009576682761,1.0,0.013924948419781898,0.0015437211153651559,0.0012627643654892062,4.125,3244032,3.878787878787879,1000
4,control_reasoning_L13_E20_L13_E63,reasoning_L13_E20,control,reasoning,13,63,general,False,100,6400,2.991833852529526,2.992212989330292,0.0003791368007659912,-0.00021862390637397767,0.0010828759968280791,0.000126723882225425,0.012672388222542501,0.48,0.23578125,0.02947265625,0.03472469974630584,3.0,0.014030007349764,0.000487187792659019,0.0004135015838045679,4.125,3244032,3.878787878787879,1000
4,control_reasoning_L13_E20_L13_E63,reasoning_L13_E20,control,reasoning,13,63,math,False,100,6400,2.2662287080287933,2.266011563539505,-0.00021714448928833007,-0.0008056681156158447,0.00033238399028778044,-9.581755297646294e-05,-0.009581755297646294,0.44,0.356875,0.044609375,0.0474139998772185,3.0,0.014030007349764,0.0006652187667590849,0.0006258698591183785,4.125,3244032,3.878787878787879,1000
4,control_reasoning_L13_E20_L13_E63,reasoning_L13_E20,control,reasoning,13,63,coding,False,100,6400,1.7902204298973083,1.7901063013076781,-0.00011412858963012695,-0.00028509536385536193,3.1524956226348874e-05,-6.375113797392742e-05,-0.006375113797392741,0.04,0.00515625,0.00064453125,0.0004038398095436973,55.0,0.014030007349764,5.665875496025366e-06,9.042778174652579e-06,4.125,3244032,3.878787878787879,1000
4,control_reasoning_L13_E20_L13_E63,reasoning_L13_E20,control,reasoning,13,63,reasoning,True,100,6400,1.9561886489391327,1.9565172338485717,0.0003285849094390869,-0.00022071191668510438,0.0008989803194999694,0.0001679719947343948,0.01679719947343948,0.49,0.27703125,0.03462890625,0.044363002264920834,3.0,0.014030007349764,0.0006224132478344363,0.0004858438092017885,4.125,3244032,3.878787878787879,1000
4,specialist_reasoning_L11_E48,reasoning_L11_E48,specialist,reasoning,11,48,general,False,100,6400,2.991833852529526,2.9919050681591033,7.121562957763672e-05,-0.00041415846347808835,0.0005932765603065491,2.3803337046081473e-05,0.0023803337046081475,0.24,0.0971875,0.0121484375,0.014333708262477901,28.0,0.014112005410542914,0.00020227736855323183,0.00017143881572964244,4.125,3244032,3.878787878787879,1000
4,specialist_reasoning_L11_E48,reasoning_L11_E48,specialist,reasoning,11,48,math,False,100,6400,2.2662287080287933,2.266233720779419,5.012750625610351e-06,-0.00031876754760742183,0.00030835211277008046,2.211935012495068e-06,0.00022119350124950683,0.22,0.05328125,0.00666015625,0.003752030629624664,51.0,0.014112005410542914,5.2948676545785996e-05,9.398816103506122e-05,4.125,3244032,3.878787878787879,1000
4,specialist_reasoning_L11_E48,reasoning_L11_E48,specialist,reasoning,11,48,coding,False,100,6400,1.7902204298973083,1.79023681640625,1.638650894165039e-05,-2.2280216217041017e-06,5.145698785781854e-05,9.153347078376468e-06,0.0009153347078376467,0.02,0.000625,7.8125e-05,1.6157871264854626e-05,62.0,0.014112005410542914,2.2801996671248437e-07,1.1025004226986653e-06,4.125,3244032,3.878787878787879,1000
4,specialist_reasoning_L11_E48,reasoning_L11_E48,specialist,reasoning,11,48,reasoning,True,100,6400,1.9561886489391327,1.956591545343399,0.0004028964042663574,-0.00040687519311904903,0.0010876019299030301,0.0002059598927152826,0.02059598927152826,0.57,0.7053125,0.0881640625,0.10959927286075233,1.0,0.014112005410542914,0.001546665531602506,0.0012441717270154436,4.125,3244032,3.878787878787879,1000
4,control_reasoning_L11_E48_L11_E47,reasoning_L11_E48,control,reasoning,11,47,general,False,100,6400,2.991833852529526,2.9924508905410767,0.0006170380115509033,4.869654774665833e-05,0.0012301881313323973,0.000206240734601359,0.020624073460135898,0.55,0.12609375,0.01576171875,0.012943423619648597,35.0,0.014918939917882028,0.00019310215931323254,0.00023514813503380463,4.125,3244032,3.878787878787879,1000
4,control_reasoning_L11_E48_L11_E47,reasoning_L11_E48,control,reasoning,11,47,math,False,100,6400,2.2662287080287933,2.2658313548564912,-0.00039735317230224607,-0.000996999353170395,0.00024484995007514936,-0.00017533674818190397,-0.017533674818190396,0.48,0.5746875,0.0718359375,0.05379504202218304,3.0,0.014918939917882028,0.0008025649998088877,0.0010717160355072286,4.125,3244032,3.878787878787879,1000
4,control_reasoning_L11_E48_L11_E47,reasoning_L11_E48,control,reasoning,11,47,coding,False,100,6400,1.7902204298973083,1.789393457174301,-0.0008269727230072021,-0.0018795394301414489,0.0002980276644229889,-0.000461939049067069,-0.046193904906706905,0.44,0.884375,0.110546875,0.17150938361861742,2.0,0.014918939917882028,0.0025587381895591337,0.001649242186234615,4.125,3244032,3.878787878787879,1000
4,control_reasoning_L11_E48_L11_E47,reasoning_L11_E48,control,reasoning,11,47,reasoning,True,100,6400,1.9561886489391327,1.9564260804653169,0.00023743152618408203,-0.00035317897796630863,0.0008931320905685424,0.00012137455470506096,0.012137455470506094,0.52,0.37078125,0.04634765625,0.03446912714975047,4.0,0.014918939917882028,0.0005142428369689635,0.0006914578989283995,4.125,3244032,3.878787878787879,1000
