domain,layer,layer_ordinal,layer_name,expert_id,routing_frequency,routing_rank,gate_mass,gate_rank,functional_contribution,functional_rank,normalized_routing,normalized_gate,normalized_contribution
general,0,0,model.layers.0.mlp,63,0.005089091474153113,61.0,0.001101237855945043,62.0,0.0003975205826089226,63.0,0.005089091474153113,0.0028908751481074315,0.0015323605585367546
general,1,1,model.layers.1.mlp,0,0.012457267170827723,38.0,0.005175348762204755,26.0,0.004932977271894463,18.0,0.012457267170827723,0.01622567385909074,0.013026054306266273
general,1,1,model.layers.1.mlp,1,0.013078835595151767,35.0,0.0038921878237335545,38.0,0.0032085294337528525,34.0,0.013078835595151767,0.012202727415672908,0.00847246527678966
general,1,1,model.layers.1.mlp,2,0.011032839531751788,47.0,0.00312316888208329,48.0,0.0025112176796203943,50.0,0.011032839531751788,0.009791711054842257,0.006631138978880555
general,1,1,model.layers.1.mlp,3,0.01129182637522014,43.5,0.002853635406415104,56.0,0.0019775337875749975,60.0,0.01129182637522014,0.008946673846482978,0.005221889558703698
general,1,1,model.layers.1.mlp,4,0.010981042163058117,48.0,0.003433889865035481,44.0,0.002453053014492428,51.0,0.010981042163058117,0.010765878702707314,0.006477548957094034
general,1,1,model.layers.1.mlp,5,0.04068683310887807,1.0,0.012515387460504507,1.0,0.011746210634448294,4.0,0.04068683310887807,0.03923805031987636,0.031017126003989287
general,1,1,model.layers.1.mlp,6,0.00897389412617839,57.0,0.0028755000671747124,54.0,0.0023487059919127503,53.0,0.00897389412617839,0.009015223594688532,0.006202009479025837
general,1,1,model.layers.1.mlp,7,0.011252978348699885,45.0,0.0039237012619133945,37.0,0.0029815096444984145,40.0,0.011252978348699885,0.012301527862479294,0.00787299523254805
general,1,1,model.layers.1.mlp,8,0.019618253392727648,17.0,0.00548240245098674,21.0,0.0032375915893333744,33.0,0.019618253392727648,0.017188343862664525,0.00854920700819919
general,1,1,model.layers.1.mlp,9,0.017921889568009945,20.0,0.00852124885883922,6.0,0.05174198601806669,2.0,0.017921889568009945,0.026715688392906063,0.1366302503815441
general,1,1,model.layers.1.mlp,10,0.007937946752304983,61.0,0.0023716517857142855,60.0,0.0021396351198237525,57.0,0.007937946752304983,0.007435566210215475,0.00564993547106191
general,1,1,model.layers.1.mlp,11,0.02890293173106806,4.0,0.009232236031706465,4.0,0.016696677230916765,3.0,0.02890293173106806,0.02894476444458964,0.04408936274311997
general,1,1,model.layers.1.mlp,12,0.020032632342277014,16.0,0.005877762054218896,19.0,0.004874859559491059,19.0,0.020032632342277014,0.018427869211362306,0.012872588268172816
general,1,1,model.layers.1.mlp,13,0.02231171656479851,9.0,0.006990817449481379,14.0,0.00515084014795462,16.0,0.02231171656479851,0.021917503371386836,0.013601344541444894
general,1,1,model.layers.1.mlp,14,0.01654925929762768,23.0,0.004484266144592354,30.0,0.003192168624667779,35.0,0.01654925929762768,0.014059002262974279,0.008429262809822936
general,1,1,model.layers.1.mlp,15,0.010722055319589766,49.0,0.0031016772736616855,50.0,0.0022375222444970394,55.0,0.010722055319589766,0.00972433089459047,0.00590841689751065
general,1,1,model.layers.1.mlp,16,0.015759349425049207,28.0,0.00344334895482622,43.0,0.002059911073429695,58.0,0.015759349425049207,0.010795534695568943,0.005439415596226674
general,1,1,model.layers.1.mlp,17,0.011991090852584688,42.0,0.005325499166790764,23.0,0.003752445313517237,26.0,0.011991090852584688,0.016696423098719805,0.009908733355343063
general,1,1,model.layers.1.mlp,18,0.032632342277012324,2.0,0.01109176915531441,2.0,0.07099825980489666,1.0,0.032632342277012324,0.03477474410010277,0.18747850170284985
general,1,1,model.layers.1.mlp,19,0.012172381643012535,40.0,0.0035979443728633587,42.0,0.0027524279823182693,44.0,0.012172381643012535,0.011280219873020017,0.007268080592229359
general,1,1,model.layers.1.mlp,20,0.013791049414689734,32.0,0.004410743219400704,31.0,0.003596390883875248,29.0,0.013791049414689734,0.013828494318458897,0.009496654936325882
general,1,1,model.layers.1.mlp,21,0.016704651403708692,22.0,0.005200001831117917,24.0,0.005372149165880676,14.0,0.016704651403708692,0.016302965781662588,0.014185734682951498
general,1,1,model.layers.1.mlp,22,0.01129182637522014,43.5,0.003261312059722366,46.0,0.00281727559160988,43.0,0.01129182637522014,0.010224815421179723,0.007439317643143169
general,1,1,model.layers.1.mlp,23,0.01881539417797576,18.0,0.006992429794332073,13.0,0.004524081630894129,23.0,0.01881539417797576,0.021922558370170066,0.01194632161509569
general,1,1,model.layers.1.mlp,24,0.007782554646223972,62.0,0.002340353326847871,61.0,0.0018849889928216263,62.0,0.007782554646223972,0.007337439763246852,0.004977515126028333
general,1,1,model.layers.1.mlp,25,0.004920750025898684,64.0,0.0011756839276002278,64.0,0.0010800866758815368,64.0,0.004920750025898684,0.0036859861715849754,0.0028520844350260603
general,1,1,model.layers.1.mlp,26,0.009336475707034083,52.0,0.002726171642316508,57.0,0.002059600336538329,59.0,0.009336475707034083,0.008547051413262683,0.005438595062216726
general,1,1,model.layers.1.mlp,27,0.020602403397907386,15.0,0.007532103746082824,11.0,0.005364576353079159,15.0,0.020602403397907386,0.023614535845254078,0.014165737860471537
general,1,1,model.layers.1.mlp,28,0.008960944784004972,58.0,0.0030288941302250598,51.0,0.0023596637321646307,52.0,0.008960944784004972,0.009496142302457983,0.006230944564619723
general,1,1,model.layers.1.mlp,29,0.021793742877861805,12.0,0.006821458010948669,15.0,0.004600416754499675,22.0,0.021793742877861805,0.02138653026390107,0.01214789267669913
general,1,1,model.layers.1.mlp,30,0.012016989536931524,41.0,0.0037932467561897854,39.0,0.002563521615724008,47.0,0.012016989536931524,0.011892528902104219,0.006769253118590648
general,1,1,model.layers.1.mlp,31,0.012690355329949238,36.0,0.003970415002136641,36.0,0.0028482349168813736,42.0,0.012690355329949238,0.012447984062520541,0.0075210690541155055
general,1,1,model.layers.1.mlp,32,0.02181964156220864,11.0,0.007613176238928312,10.0,0.005437981331520077,13.0,0.02181964156220864,0.02386871307818977,0.014359571560247432
general,1,1,model.layers.1.mlp,33,0.00924583031182016,55.0,0.0027088025783758934,58.0,0.003058297450306977,37.0,0.00924583031182016,0.008492596191076259,0.008075761649944745
